environment,method,success_rate,avg_rollouts_per_ep
hotpotqa,se_feedback_cycle3_openrouter,0.9467,1.1283
hotpotqa,se_online_decay_local,0.9517,1.3367
hotpotqa,se_c3_addcum_local,0.9533,1.1083
hotpotqa,proto,0.9417,1.1550
hotpotqa,se_100cal_fb_c3_local,0.9300,1.2350
hotpotqa,se_c3_selcum_local,0.9550,1.1750
hotpotqa,se_feedback_cycle3_local,0.9467,1.1233
hotpotqa,se_few5_local,0.9483,1.1817
hotpotqa,principled_online,0.9217,1.2567
hotpotqa,principled_v2,0.9483,1.0883
hotpotqa,se_online_fix_local,0.9483,1.1567
hotpotqa,se_c3_addlat_local,0.9517,1.1350
hotpotqa,principled,0.9517,1.4267
hotpotqa,se_few5_filter_local,0.9467,1.0867
hotpotqa,se_online_fix_ref_local,0.9533,1.2817
hotpotqa,se_feedback_cycle2_local,0.9567,1.1533
hotpotqa,self_evolving_local,0.9500,1.2050
hotpotqa,se_few5flt_or_100cal,0.9333,1.2267
hotpotqa,se_online_decay_ref_local,0.9567,1.2350
hotpotqa,principled_fbeta,0.9183,0.9433
hotpotqa,cacb_B,0.5600,0.1983
hotpotqa,principled_auto,0.6817,0.5567
hotpotqa,se_c3_sellat_local,0.9550,1.1550
hotpotqa,se_few5_filter_openrouter,0.9383,1.0700
hotpotqa,principled_adaptive,0.9567,1.1400
hotpotqa,se_feedback_cycle2_openrouter,0.9417,1.0667
hotpotqa,self_evolving_openrouter,0.9467,1.2867
hotpotqa,cacb_C,0.5317,0.1617
hotpotqa,cacb_A,0.7467,0.5617
hotpotqa,principled_nopca,0.9583,1.3800
hotpotqa,se_few5_openrouter,0.9400,1.1650
hotpotqa,seag,0.6750,1.0200
hotpotqa,cats,0.9317,1.7733
hotpotqa,catts,0.6833,1.0667
hotpotqa,corefine,0.6817,1.0467
hotpotqa,s1_budget,0.9700,1.0367
hotpotqa,auq,0.9700,1.6867
apps,principled_fbeta,0.6400,1.0667
apps,cacb_A,0.5967,0.2000
apps,se_c3_addlat_local,0.6433,0.9133
apps,se_c3_sellat_local,0.6233,0.7583
apps,se_few5_filter_openrouter,0.6417,1.3683
apps,se_online_fix_local,0.6450,1.0850
apps,se_feedback_cycle2_local,0.6267,0.8300
apps,principled_adaptive,0.6467,1.0867
apps,cacb_C,0.6033,0.4367
apps,se_online_fix_ref_local,0.6400,1.1383
apps,se_feedback_cycle3_local,0.6583,1.2783
apps,self_evolving_local,0.6417,1.1467
apps,se_100cal_fb_c3_local,0.6417,1.2233
apps,se_online_decay_ref_local,0.6433,1.2167
apps,se_feedback_cycle2_openrouter,0.6450,1.1933
apps,se_online_decay_local,0.6600,1.1967
apps,se_few5flt_or_100cal,0.6600,1.5500
apps,se_c3_addcum_local,0.6317,0.8483
apps,cacb_B,0.5967,0.3300
apps,se_c3_selcum_local,0.6350,0.9150
apps,principled_auto,0.6300,0.8533
apps,se_few5_filter_local,0.6583,1.3917
apps,principled_online,0.6583,2.1333
apps,se_feedback_cycle3_openrouter,0.6517,1.3233
apps,proto,0.6483,1.8650
apps,principled_v2,0.6417,1.1767
apps,se_few5_local,0.6383,1.1700
apps,principled_nopca,0.6567,2.1917
