backbone,environment,method,sr_pct,cost_ro_per_ep
Phi-3.5-mini,HotpotQA,base_only,28.3,0.00
Phi-3.5-mini,HotpotQA,always_trigger,98.8,1.18
Phi-3.5-mini,HotpotQA,oracle,98.8,0.75
Phi-3.5-mini,HotpotQA,CATTS,42.0,0.61
Phi-3.5-mini,HotpotQA,SEAG,88.3,1.58
Phi-3.5-mini,HotpotQA,CoRefine,87.7,1.58
Phi-3.5-mini,HotpotQA,CaTS,68.3,0.99
Phi-3.5-mini,HotpotQA,AUQ,31.2,0.09
Phi-3.5-mini,HotpotQA,s1_budget,94.2,1.06
Phi-3.5-mini,HotpotQA,EAAG,92.3,1.06
Phi-3.5-mini,APPS,base_only,59.0,0.00
Phi-3.5-mini,APPS,always_trigger,75.0,2.00
Phi-3.5-mini,APPS,oracle,75.0,0.53
Phi-3.5-mini,APPS,CATTS,28.0,0.15
Phi-3.5-mini,APPS,SEAG,30.2,0.58
Phi-3.5-mini,APPS,CoRefine,30.2,0.60
Phi-3.5-mini,APPS,CaTS,36.5,2.70
Phi-3.5-mini,APPS,AUQ,27.3,0.01
Phi-3.5-mini,APPS,s1_budget,36.2,1.00
Phi-3.5-mini,APPS,EAAG,37.2,2.06
Phi-3.5-mini,WebShop,base_only,3.5,0.00
Phi-3.5-mini,WebShop,always_trigger,53.5,3.82
Phi-3.5-mini,WebShop,oracle,52.3,1.22
Phi-3.5-mini,WebShop,CATTS,28.7,0.52
Phi-3.5-mini,WebShop,SEAG,36.5,0.97
Phi-3.5-mini,WebShop,CoRefine,35.8,0.96
Phi-3.5-mini,WebShop,CaTS,41.7,1.12
Phi-3.5-mini,WebShop,AUQ,7.0,0.23
Phi-3.5-mini,WebShop,s1_budget,3.0,1.00
Phi-3.5-mini,WebShop,EAAG,57.3,2.49
Phi-3.5-mini,FEVER,base_only,7.2,0.00
Phi-3.5-mini,FEVER,always_trigger,61.0,4.35
Phi-3.5-mini,FEVER,oracle,61.2,0.59
Phi-3.5-mini,FEVER,CATTS,12.7,0.46
Phi-3.5-mini,FEVER,SEAG,13.5,1.17
Phi-3.5-mini,FEVER,CoRefine,13.7,1.20
Phi-3.5-mini,FEVER,CaTS,19.8,3.42
Phi-3.5-mini,FEVER,AUQ,8.5,0.30
Phi-3.5-mini,FEVER,s1_budget,23.0,1.89
Phi-3.5-mini,FEVER,EAAG,16.5,2.40
Phi-3.5-mini,TWExpress,base_only,66.7,0.00
Phi-3.5-mini,TWExpress,always_trigger,96.5,4.78
Phi-3.5-mini,TWExpress,oracle,96.5,0.91
Phi-3.5-mini,TWExpress,CATTS,86.7,0.92
Phi-3.5-mini,TWExpress,SEAG,94.5,2.17
Phi-3.5-mini,TWExpress,CoRefine,94.7,2.16
Phi-3.5-mini,TWExpress,CaTS,68.2,0.00
Phi-3.5-mini,TWExpress,AUQ,94.5,1.68
Phi-3.5-mini,TWExpress,s1_budget,95.7,1.06
Phi-3.5-mini,TWExpress,EAAG,96.7,2.67
Phi-3.5-mini,Plancraft,base_only,13.7,0.00
Phi-3.5-mini,Plancraft,always_trigger,14.5,11.65
Phi-3.5-mini,Plancraft,oracle,14.3,0.05
Phi-3.5-mini,Plancraft,CATTS,13.5,0.07
Phi-3.5-mini,Plancraft,SEAG,14.7,3.08
Phi-3.5-mini,Plancraft,CoRefine,15.2,3.01
Phi-3.5-mini,Plancraft,CaTS,13.5,0.00
Phi-3.5-mini,Plancraft,AUQ,12.7,0.54
Phi-3.5-mini,Plancraft,s1_budget,13.7,2.16
Phi-3.5-mini,Plancraft,EAAG,13.8,0.71
Phi-3.5-mini,APPS,base_only,27.0,0.00
Phi-3.5-mini,APPS,always_trigger,79.5,1.82
Phi-3.5-mini,APPS,oracle,79.5,0.57
Phi-3.5-mini,APPS,CATTS,27.7,0.13
Phi-3.5-mini,APPS,SEAG,29.2,0.60
Phi-3.5-mini,APPS,CoRefine,28.3,0.61
Phi-3.5-mini,APPS,CaTS,36.7,2.63
Phi-3.5-mini,APPS,AUQ,27.2,0.03
Phi-3.5-mini,APPS,s1_budget,34.5,1.00
Phi-3.5-mini,APPS,EAAG,36.8,2.06
Llama-3.1-8B,HotpotQA,base_only,46.3,0.00
Llama-3.1-8B,HotpotQA,always_trigger,99.5,1.23
Llama-3.1-8B,HotpotQA,oracle,99.5,0.76
Llama-3.1-8B,HotpotQA,CATTS,75.7,1.35
Llama-3.1-8B,HotpotQA,SEAG,84.2,1.67
Llama-3.1-8B,HotpotQA,CoRefine,84.5,1.60
Llama-3.1-8B,HotpotQA,CaTS,86.0,0.85
Llama-3.1-8B,HotpotQA,AUQ,97.7,1.44
Llama-3.1-8B,HotpotQA,s1_budget,97.0,1.04
Llama-3.1-8B,HotpotQA,EAAG,95.5,1.21
Llama-3.1-8B,APPS,base_only,53.3,0.00
Llama-3.1-8B,APPS,always_trigger,75.0,2.36
Llama-3.1-8B,APPS,oracle,75.0,0.28
Llama-3.1-8B,APPS,CATTS,57.3,0.61
Llama-3.1-8B,APPS,SEAG,58.2,0.96
