backbone,environment,category,method,sr_pct
Qwen3-4B,HotpotQA,best_fixed,AUQ,95.0
Qwen3-4B,HotpotQA,DIAL,DIAL,95.2
Qwen3-4B,WebShop,best_fixed,AUQ,35.7
Qwen3-4B,WebShop,DIAL,DIAL,43.8
Qwen3-4B,FEVER,best_fixed,CaTS,48.2
Qwen3-4B,FEVER,DIAL,DIAL,49.8
Qwen3-4B,TWExpress,best_fixed,CoRefine,97.5
Qwen3-4B,TWExpress,DIAL,DIAL,99.0
Qwen3-4B,Plancraft,best_fixed,CATTS,23.0
Qwen3-4B,Plancraft,DIAL,DIAL,23.3
Qwen3-4B,APPS,best_fixed,s1_budget,69.0
Qwen3-4B,APPS,DIAL,DIAL,73.0
Phi-3.5-mini,HotpotQA,best_fixed,s1_budget,91.2
Phi-3.5-mini,HotpotQA,DIAL,DIAL,92.3
Phi-3.5-mini,WebShop,best_fixed,s1_budget,43.0
Phi-3.5-mini,WebShop,DIAL,DIAL,57.3
Phi-3.5-mini,FEVER,best_fixed,s1_budget,20.0
Phi-3.5-mini,FEVER,DIAL,DIAL,20.5
Phi-3.5-mini,TWExpress,best_fixed,s1_budget,93.7
Phi-3.5-mini,TWExpress,DIAL,DIAL,96.7
Phi-3.5-mini,Plancraft,best_fixed,DIAL,16.8
Phi-3.5-mini,Plancraft,DIAL,DIAL,16.8
Phi-3.5-mini,APPS,best_fixed,DIAL,36.8
Phi-3.5-mini,APPS,DIAL,DIAL,36.8
Llama-3.1-8B,HotpotQA,best_fixed,AUQ,95.0
Llama-3.1-8B,HotpotQA,DIAL,DIAL,95.5
Llama-3.1-8B,WebShop,best_fixed,AUQ,37.8
Llama-3.1-8B,WebShop,DIAL,DIAL,41.7
Llama-3.1-8B,FEVER,best_fixed,CaTS,56.3
Llama-3.1-8B,FEVER,DIAL,DIAL,54.7
Llama-3.1-8B,TWExpress,best_fixed,SEAG,76.5
Llama-3.1-8B,TWExpress,DIAL,DIAL,94.8
Llama-3.1-8B,Plancraft,best_fixed,CATTS,27.0
Llama-3.1-8B,Plancraft,DIAL,DIAL,27.0
Llama-3.1-8B,APPS,best_fixed,DIAL,59.7
Llama-3.1-8B,APPS,DIAL,DIAL,59.7
