environment,phase,rho,ci_lo,ci_hi,n,p_value
HotpotQA,early,-0.1758,-0.2604862453365382,-0.090971344828745,509,0.000066
HotpotQA,late,-0.4369,-0.5003929523144128,-0.3695399097657178,699,0.000000
APPS,early,0.1015,-0.013325271640996304,0.20897591090534495,290,0.084332
APPS,late,-0.1437,-0.28111256187633943,0.0009130921955093149,199,0.042939
WebShop,early,0.2847,0.22202164400104055,0.3460863561077539,600,0.000000
WebShop,late,-0.0061,-0.018373826537572892,0.0013484148352977756,473,0.895286
FEVER,early,0.0542,,,200,0.445926
FEVER,late,0.0780,,,82,0.486277
TWExpress,early,0.1611,,,422,0.000896
TWExpress,late,0.0080,,,376,0.876660
