backbone,env,data_path_relative_to_repo,n_steps,status
Qwen3-4B,HotpotQA,results/phase1_signal_discovery/hotpotqa/phase1_signal_data.json,1208,OK
Qwen3-4B,APPS,results/phase6/apps_interview/apps_interview/phase1_signal_data.json,439,OK
Qwen3-4B,WebShop,results/phase4/webshop/p4_webshop_signal_data.json,1073,OK
Qwen3-4B,FEVER,results/phase6/fever/fever/phase1_signal_data.json,282,OK
Qwen3-4B,TWExpress,results/phase5/twexpress/twexpress/phase1_signal_data.json,798,OK
Qwen3-4B,Plancraft,results/phase5/plancraft/plancraft/phase1_signal_data.json,1360,OK
Phi-3.5-mini,HotpotQA,results/review/phi35_mini/hotpotqa/hotpotqa/phase1_signal_data.json,242,OK
Phi-3.5-mini,APPS,results/review/phi35_mini/apps/apps/phase1_signal_data.json,400,OK
Phi-3.5-mini,WebShop,results/review/phi35_mini/webshop/webshop/phase1_signal_data.json,751,OK
Phi-3.5-mini,FEVER,results/review/phi35_mini/fever/fever/phase1_signal_data.json,824,OK
Phi-3.5-mini,TWExpress,results/review/phi35_mini/twexpress/twexpress/phase1_signal_data.json,200,DEAD
Phi-3.5-mini,Plancraft,results/review/phi35_mini/plancraft/plancraft/phase1_signal_data.json,2232,DEAD
Llama-3.1-8B,HotpotQA,results/review/llama31_8b/hotpotqa/hotpotqa/phase1_signal_data.json,244,OK
Llama-3.1-8B,APPS,results/review/llama31_8b/apps/apps/phase1_signal_data.json,475,OK
Llama-3.1-8B,WebShop,results/review/llama31_8b/webshop/webshop/phase1_signal_data.json,948,OK
Llama-3.1-8B,FEVER,results/review/llama31_8b/fever/fever/phase1_signal_data.json,840,OK
Llama-3.1-8B,TWExpress,results/review/llama31_8b/twexpress/twexpress/phase1_signal_data.json,200,DEAD
Llama-3.1-8B,Plancraft,results/review/llama31_8b/plancraft/plancraft/phase1_signal_data.json,1338,OK
