backbone,env,n,status,sp_raw_rho,sp_raw_ci_lo,sp_raw_ci_hi,sp_raw_p,sp_s1_rho,sp_s1_ci_lo,sp_s1_ci_hi,sp_s2_rho,sp_s2_ci_lo,sp_s2_ci_hi,sp_s3_rho,sp_s3_ci_lo,sp_s3_ci_hi,sp_s1_signstable,sp_s2_signstable,sp_s3_signstable,pe_raw_rho,pe_raw_ci_lo,pe_raw_ci_hi,pe_raw_p,pe_s1_rho,pe_s1_ci_lo,pe_s1_ci_hi,pe_s2_rho,pe_s2_ci_lo,pe_s2_ci_hi,pe_s3_rho,pe_s3_ci_lo,pe_s3_ci_hi,pe_s1_signstable,pe_s2_signstable,pe_s3_signstable
Qwen3-4B,HotpotQA,1208,OK,-0.3272172302468129,-0.3781559379260676,-0.2760855761468567,1.5344953444877466e-31,-0.3272172302468129,-0.3781559379260676,-0.2760855761468567,-0.3272172302468129,-0.3781559379260676,-0.2760855761468567,-0.3272172302468129,-0.3781559379260676,-0.2760855761468567,True,True,True,-0.13832716806607737,-0.1863378485699106,-0.08483838657015026,1.3931659332207775e-06,-0.32959947784519816,-0.37987163601555823,-0.27854290141916777,-0.26365566926485184,-0.31261349655148624,-0.2141242927668383,-0.32307213449063255,-0.37444908193862825,-0.27069989036139364,True,True,True
Qwen3-4B,APPS,439,OK,0.3174647541501023,0.2534194234363729,0.38038336645978127,9.786767698243084e-12,0.3174647541501023,0.2534194234363729,0.38038336645978127,0.3174647541501023,0.2534194234363729,0.38038336645978127,0.3174647541501023,0.2534194234363729,0.38038336645978127,True,True,True,0.2033153972044178,0.11218492506043047,0.31605048763621757,1.765112810155135e-05,0.30269991510059785,0.2416141441067876,0.364790476814331,0.2647321704449623,0.18518110753939976,0.35346204107253915,0.28548484086046605,0.2076415859022864,0.372682734711428,True,True,True
Qwen3-4B,WebShop,1073,OK,0.1326228155387269,0.0919416653629281,0.17576908818609766,1.3096575702441881e-05,0.1326228155387269,0.0919416653629281,0.17576908818609766,0.1326228155387269,0.0919416653629281,0.17576908818609766,0.1326228155387269,0.0919416653629281,0.17576908818609766,True,True,True,0.05081997146582547,-0.00041543271256276365,0.1072937397085633,0.09614674425551974,0.13407376140848914,0.09764204034768832,0.17396211060090339,0.15600423872729685,0.11854718715822475,0.19540277356571384,0.0890903224705084,0.0443512738604397,0.1377649739740789,False,False,False
Qwen3-4B,FEVER,282,OK,-0.11923198865661551,-0.23631525967396488,-0.003124078818064249,0.04544695475236413,-0.11923198865661551,-0.23631525967396488,-0.003124078818064249,-0.11923198865661551,-0.23631525967396488,-0.003124078818064249,-0.11923198865661551,-0.23631525967396488,-0.003124078818064249,True,True,True,-0.1864465303129138,-0.2442313561507328,-0.12571360688666222,0.0016626714225782236,-0.12258185867461781,-0.23907825784575648,-0.011779864065695221,-0.2373361032460163,-0.3166635750335456,-0.15249568651283757,-0.19161928963510738,-0.2801364663899061,-0.09919920830644326,True,True,True
Qwen3-4B,TWExpress,798,OK,-0.28977918484273585,-0.34649783733628675,-0.23229014668849263,6.656095745925928e-17,-0.28977918484273585,-0.34649783733628675,-0.23229014668849263,-0.28977918484273585,-0.34649783733628675,-0.23229014668849263,-0.28977918484273585,-0.34649783733628675,-0.23229014668849263,True,True,True,-0.3191019739940236,-0.36827532522238426,-0.2695474977890622,2.3999380320428462e-20,-0.2904354268157942,-0.3448461242182204,-0.2343386778892598,-0.32911172985282966,-0.381602895155991,-0.27618180991436175,-0.32361809560720367,-0.37604483968232744,-0.2715554005089579,True,True,True
Qwen3-4B,Plancraft,1360,OK,-0.015927642022637602,-0.04796444896660198,0.017275068405044697,0.5572846123081068,-0.015927642022637602,-0.04796444896660198,0.017275068405044697,-0.015927642022637602,-0.04796444896660198,0.017275068405044697,-0.015927642022637602,-0.04796444896660198,0.017275068405044697,False,False,False,-0.025245226663429456,-0.046893441041002286,-0.001679558676390493,0.3522208713802466,-0.017178071955809317,-0.04956056155126661,0.01734921543297028,-0.015984947343246635,-0.048462604121489596,0.018190354657049563,-0.02383637070499512,-0.051014852683249484,0.004813168449098776,False,False,False
Phi-3.5-mini,HotpotQA,242,OK,0.1842947351963789,0.056894672832252184,0.30732608637379616,0.00401740860938473,0.1842947351963789,0.056894672832252184,0.30732608637379616,0.1842947351963789,0.056894672832252184,0.30732608637379616,0.1842947351963789,0.056894672832252184,0.30732608637379616,True,True,True,0.11937107268019803,-0.008608244632742327,0.24814989600764398,0.06373945278038655,0.18366281318677471,0.051873320642418314,0.30415729668231234,0.1472825303803826,0.01358319451379784,0.27158389194174093,0.17969101131343695,0.04892487208265629,0.31499309781525914,False,False,False
Phi-3.5-mini,APPS,400,OK,-0.12891931713703264,-0.21319228841428953,-0.04658363446558898,0.009848702878000605,-0.12891931713703264,-0.21319228841428953,-0.04658363446558898,-0.12891931713703264,-0.21319228841428953,-0.04658363446558898,-0.12891931713703264,-0.21319228841428953,-0.04658363446558898,True,True,True,-0.1968577996894797,-0.24854434450424906,-0.1482683157388865,7.380092284976054e-05,-0.10392254809975401,-0.19056925974912967,-0.026750985788366,-0.19305055436338858,-0.2500455963715548,-0.1361462063234978,-0.0539461437870577,-0.1523617724470813,0.0240030959947438,True,True,False
Phi-3.5-mini,WebShop,751,OK,0.33493047582157776,0.264681472722379,0.4031366691843764,3.829217530879181e-21,0.33493047582157776,0.264681472722379,0.4031366691843764,0.33493047582157776,0.264681472722379,0.4031366691843764,0.33493047582157776,0.264681472722379,0.4031366691843764,True,True,True,0.38361969516596467,0.30717942419771677,0.46036407467632795,9.693702020520483e-28,0.37419166069308785,0.30696656171162373,0.4397355562340488,0.38170423622173444,0.3069896101962347,0.45686134945625595,0.3941263731801271,0.3291201529876008,0.4578551556383275,True,True,True
Phi-3.5-mini,FEVER,824,OK,-0.15576197549536888,-0.21725258929684868,-0.09456563363046978,7.06019675238693e-06,-0.15576197549536888,-0.21725258929684868,-0.09456563363046978,-0.15576197549536888,-0.21725258929684868,-0.09456563363046978,-0.15576197549536888,-0.21725258929684868,-0.09456563363046978,True,True,True,-0.15826903573055395,-0.22482501601470312,-0.08934714733001295,4.992999643639453e-06,-0.1611010335288551,-0.22415697274010082,-0.09809665340129298,-0.1600897858788674,-0.22702254025330212,-0.09127297183769312,-0.15668631534082628,-0.23009292208051574,-0.08804053766260794,True,True,True
Phi-3.5-mini,TWExpress,200,DEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phi-3.5-mini,Plancraft,2232,DEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,HotpotQA,244,OK,-0.3455661284779553,-0.46858275207358774,-0.23582195775768236,2.992666692105905e-08,-0.3455661284779553,-0.46858275207358774,-0.23582195775768236,-0.3455661284779553,-0.46858275207358774,-0.23582195775768236,-0.3455661284779553,-0.46858275207358774,-0.23582195775768236,True,True,True,-0.34415237089398915,-0.46024797444437354,-0.23512227546153944,3.434699397969894e-08,-0.3371725278343151,-0.45765830323951295,-0.22895433470240284,-0.34061387101424034,-0.4600741910116426,-0.23145684470802388,-0.32042956035435205,-0.4422633442057739,-0.20843582936212968,True,True,True
