backbone,env,n,status,perturbation_type,param_value,pos_frac,label_flip_rate,majority_class,majority_flipped,spearman_rho
Qwen3-4B,HotpotQA,1208,OK,shift,-0.5,0.43460264900662254,0.012417218543046357,neg,False,-0.3272172302468129
Qwen3-4B,HotpotQA,1208,OK,shift,-0.25,0.43956953642384106,0.0074503311258278145,neg,False,-0.3272172302468129
Qwen3-4B,HotpotQA,1208,OK,shift,0.0,0.4470198675496689,0.0,neg,False,-0.3272172302468129
Qwen3-4B,HotpotQA,1208,OK,shift,0.25,0.9975165562913907,0.5504966887417219,pos,True,-0.3272172302468129
Qwen3-4B,HotpotQA,1208,OK,shift,0.5,0.9983443708609272,0.5513245033112583,pos,True,-0.3271996775086116
Qwen3-4B,HotpotQA,1208,OK,scale,-2.0,,,,,0.3272172302468129
Qwen3-4B,HotpotQA,1208,OK,scale,-1.0,,,,,0.3272172302468129
Qwen3-4B,HotpotQA,1208,OK,scale,-0.5,,,,,0.3272172302468129
Qwen3-4B,HotpotQA,1208,OK,scale,0.5,,,,,-0.3272172302468129
Qwen3-4B,HotpotQA,1208,OK,scale,1.0,,,,,-0.3272172302468129
Qwen3-4B,HotpotQA,1208,OK,scale,2.0,,,,,-0.3272172302468129
Qwen3-4B,APPS,439,OK,shift,-0.5,0.09567198177676538,0.00683371298405467,neg,False,0.3174647541501023
Qwen3-4B,APPS,439,OK,shift,-0.25,0.10022779043280182,0.002277904328018223,neg,False,0.3174647541501023
Qwen3-4B,APPS,439,OK,shift,0.0,0.10250569476082004,0.0,neg,False,0.3174647541501023
Qwen3-4B,APPS,439,OK,shift,0.25,1.0,0.89749430523918,pos,True,0.3174647541501023
Qwen3-4B,APPS,439,OK,shift,0.5,1.0,0.89749430523918,pos,True,0.3174647541501023
Qwen3-4B,APPS,439,OK,scale,-2.0,,,,,-0.3174647541501023
Qwen3-4B,APPS,439,OK,scale,-1.0,,,,,-0.3174647541501023
Qwen3-4B,APPS,439,OK,scale,-0.5,,,,,-0.3174647541501023
Qwen3-4B,APPS,439,OK,scale,0.5,,,,,0.3174647541501023
Qwen3-4B,APPS,439,OK,scale,1.0,,,,,0.3174647541501023
Qwen3-4B,APPS,439,OK,scale,2.0,,,,,0.3174647541501023
Qwen3-4B,WebShop,1073,OK,shift,-0.5,0.13979496738117428,0.001863932898415657,neg,False,0.1326228155387269
Qwen3-4B,WebShop,1073,OK,shift,-0.25,0.13979496738117428,0.001863932898415657,neg,False,0.1326228155387269
Qwen3-4B,WebShop,1073,OK,shift,0.0,0.14165890027958994,0.0,neg,False,0.1326228155387269
Qwen3-4B,WebShop,1073,OK,shift,0.25,1.0,0.8583410997204101,pos,True,0.1326228155387269
Qwen3-4B,WebShop,1073,OK,shift,0.5,1.0,0.8583410997204101,pos,True,0.1326228155387269
Qwen3-4B,WebShop,1073,OK,scale,-2.0,,,,,-0.1326228155387269
Qwen3-4B,WebShop,1073,OK,scale,-1.0,,,,,-0.1326228155387269
Qwen3-4B,WebShop,1073,OK,scale,-0.5,,,,,-0.1326228155387269
Qwen3-4B,WebShop,1073,OK,scale,0.5,,,,,0.1326228155387269
Qwen3-4B,WebShop,1073,OK,scale,1.0,,,,,0.1326228155387269
Qwen3-4B,WebShop,1073,OK,scale,2.0,,,,,0.1326228155387269
Qwen3-4B,FEVER,282,OK,shift,-0.5,0.5141843971631206,0.0035460992907801418,pos,False,-0.11923198865661551
Qwen3-4B,FEVER,282,OK,shift,-0.25,0.5141843971631206,0.0035460992907801418,pos,False,-0.11923198865661551
Qwen3-4B,FEVER,282,OK,shift,0.0,0.5177304964539007,0.0,pos,False,-0.11923198865661551
Qwen3-4B,FEVER,282,OK,shift,0.25,1.0,0.48226950354609927,pos,False,-0.11923198865661551
Qwen3-4B,FEVER,282,OK,shift,0.5,1.0,0.48226950354609927,pos,False,-0.11923198865661551
Qwen3-4B,FEVER,282,OK,scale,-2.0,,,,,0.11923198865661551
Qwen3-4B,FEVER,282,OK,scale,-1.0,,,,,0.11923198865661551
Qwen3-4B,FEVER,282,OK,scale,-0.5,,,,,0.11923198865661551
Qwen3-4B,FEVER,282,OK,scale,0.5,,,,,-0.11923198865661551
Qwen3-4B,FEVER,282,OK,scale,1.0,,,,,-0.11923198865661551
Qwen3-4B,FEVER,282,OK,scale,2.0,,,,,-0.11923198865661551
Qwen3-4B,TWExpress,798,OK,shift,-0.5,0.22055137844611528,0.005012531328320802,neg,False,-0.28977918484273585
Qwen3-4B,TWExpress,798,OK,shift,-0.25,0.22556390977443608,0.0,neg,False,-0.28977918484273585
Qwen3-4B,TWExpress,798,OK,shift,0.0,0.22556390977443608,0.0,neg,False,-0.28977918484273585
Qwen3-4B,TWExpress,798,OK,shift,0.25,1.0,0.7744360902255639,pos,True,-0.28977918484273585
