backbone,env,n,status,transform_type,param_value,spearman_rho,pearson_rho
Qwen3-4B,HotpotQA,1208,OK,linear_T,0.5,-0.3272172302468129,-0.13832716806607737
Qwen3-4B,HotpotQA,1208,OK,linear_T,1.0,-0.3272172302468129,-0.13832716806607737
Qwen3-4B,HotpotQA,1208,OK,linear_T,2.0,-0.3272172302468129,-0.13832716806607737
Qwen3-4B,HotpotQA,1208,OK,linear_T,5.0,-0.3272172302468129,-0.13832716806607737
Qwen3-4B,HotpotQA,1208,OK,power_alpha,0.5,-0.3272172302468129,-0.20111286023064312
Qwen3-4B,HotpotQA,1208,OK,power_alpha,1.0,-0.3272172302468129,-0.13832716806607737
Qwen3-4B,HotpotQA,1208,OK,power_alpha,2.0,-0.3272172302468129,-0.08509780985731452
Qwen3-4B,HotpotQA,1208,OK,log,log,-0.3272172302468129,-0.3165075677655187
Qwen3-4B,APPS,439,OK,linear_T,0.5,0.3174647541501023,0.2033153972044178
Qwen3-4B,APPS,439,OK,linear_T,1.0,0.3174647541501023,0.2033153972044178
Qwen3-4B,APPS,439,OK,linear_T,2.0,0.3174647541501023,0.2033153972044178
Qwen3-4B,APPS,439,OK,linear_T,5.0,0.3174647541501023,0.20331539720441785
Qwen3-4B,APPS,439,OK,power_alpha,0.5,0.3174647541501023,0.27261157976345574
Qwen3-4B,APPS,439,OK,power_alpha,1.0,0.3174647541501023,0.2033153972044178
Qwen3-4B,APPS,439,OK,power_alpha,2.0,0.3174647541501023,0.08499687130612962
Qwen3-4B,APPS,439,OK,log,log,0.3174647541501023,0.3052588967885223
Qwen3-4B,WebShop,1073,OK,linear_T,0.5,0.1326228155387269,0.05081997146582547
Qwen3-4B,WebShop,1073,OK,linear_T,1.0,0.1326228155387269,0.05081997146582547
Qwen3-4B,WebShop,1073,OK,linear_T,2.0,0.1326228155387269,0.05081997146582547
Qwen3-4B,WebShop,1073,OK,linear_T,5.0,0.1326228155387269,0.05081997146582548
Qwen3-4B,WebShop,1073,OK,power_alpha,0.5,0.1326228155387269,0.12712302466710942
Qwen3-4B,WebShop,1073,OK,power_alpha,1.0,0.1326228155387269,0.05081997146582547
Qwen3-4B,WebShop,1073,OK,power_alpha,2.0,0.1326228155387269,0.008196030083059195
Qwen3-4B,WebShop,1073,OK,log,log,0.1326228155387269,0.2383108395349264
