environment,signal,spearman_rho
HotpotQA,token_entropy,-0.0407
HotpotQA,step_count,-0.4944
WebShop,token_entropy,-0.0192
WebShop,step_count,-0.1297
FEVER,step_count,-0.6194
FEVER,token_entropy,-0.1192
FEVER,evidence_count,-0.5460
FEVER,is_classify_proposed,0.0000
FEVER,claim_length,-0.1980
FEVER,is_finish_proposed,-0.5547
FEVER,state_category,0.0000
FEVER,action_type,0.0000
TWExpress,token_entropy,-0.2898
TWExpress,step_count,-0.4773
APPS,step_count,-0.3386
APPS,token_entropy,0.3175
APPS,evidence_count,0.0000
APPS,is_finish_proposed,0.0000
APPS,state_category,0.0000
APPS,action_type,0.0000
Plancraft,step_count,-0.0077
Plancraft,token_entropy,-0.0159
Plancraft,crafting_progress,-0.0171
Plancraft,inventory_size,0.0617
Plancraft,grid_items,-0.0469
Plancraft,has_output,0.1621
Plancraft,optimal_path_length,0.0250
Plancraft,evidence_count,-0.0077
Plancraft,is_finish_proposed,0.0000
Plancraft,state_category,0.0000
Plancraft,action_type,0.0000
