environment,entropy_bin,mean_utility,proportion,n_steps,ent_low,ent_high
FEVER,Q1 (low),0.549,0.252,71,0.0000,0.0000
FEVER,Q2,0.600,0.248,70,0.0000,0.0000
FEVER,Q3,0.514,0.248,70,0.0000,0.0000
FEVER,Q4 (high),0.397,0.252,71,0.0000,0.0979
APPS,Q1 (low),0.000,0.251,110,0.0002,0.0015
APPS,Q2,0.000,0.248,109,0.0015,0.0044
APPS,Q3,0.192,0.251,110,0.0044,0.0164
APPS,Q4 (high),0.215,0.251,110,0.0165,0.1458
HotpotQA,Q1 (low),0.730,0.250,302,0.0000,0.0001
HotpotQA,Q2,0.405,0.250,302,0.0001,0.0009
HotpotQA,Q3,0.331,0.250,302,0.0009,0.0039
HotpotQA,Q4 (high),0.268,0.250,302,0.0039,0.2235
