environment,step,trigger_rate,n
hotpotqa,0,0.7026,491
hotpotqa,1,0.7179,195
hotpotqa,2,0.6471,85
hotpotqa,3,0.3333,21
hotpotqa,4,0.3000,20
hotpotqa,5,0.1579,19
hotpotqa,6,0.1579,19
hotpotqa,7,0.4211,19
hotpotqa,8,0.9474,19
hotpotqa,9,0.6842,19
apps,0,0.4049,489
apps,1,0.2510,255
apps,2,0.1209,182
apps,3,0.3714,175
apps,4,0.5412,170
webshop,0,0.0108,558
webshop,1,0.8280,558
webshop,2,0.3658,555
webshop,3,0.2131,122
webshop,4,0.1148,122
webshop,5,0.1653,121
webshop,6,0.0909,121
webshop,7,0.1176,119
webshop,8,0.0763,118
webshop,9,0.1186,118
webshop,10,0.0678,118
webshop,11,0.1102,118
webshop,12,0.0684,117
webshop,13,0.1282,117
webshop,14,0.3534,116
fever,0,0.4643,532
fever,1,0.5028,527
fever,2,0.5743,343
fever,3,0.5570,307
fever,4,0.5143,280
fever,5,0.4701,268
fever,6,0.4183,263
fever,7,0.3387,248
twexpress,0,0.8130,524
twexpress,1,0.8644,354
twexpress,2,0.7946,224
twexpress,3,0.8398,181
twexpress,4,0.8983,59
twexpress,5,0.7805,41
twexpress,6,0.7568,37
twexpress,7,0.5833,36
twexpress,8,0.5278,36
twexpress,9,0.5000,36
twexpress,10,0.4722,36
twexpress,11,0.8056,36
twexpress,12,0.6875,32
twexpress,13,0.8276,29
twexpress,14,0.7000,20
twexpress,15,0.6471,17
twexpress,16,0.4000,15
twexpress,17,0.5000,14
twexpress,18,0.2727,11
twexpress,19,0.3636,11
twexpress,20,0.4545,11
twexpress,21,0.6000,10
twexpress,22,0.4000,10
twexpress,23,0.3000,10
twexpress,24,0.3000,10
twexpress,25,0.1250,8
twexpress,26,0.2500,8
twexpress,27,0.2500,8
twexpress,28,0.3750,8
twexpress,29,0.1250,8
twexpress,30,0.3750,8
twexpress,31,0.3750,8
twexpress,32,0.3750,8
twexpress,33,0.2500,8
twexpress,34,0.1250,8
twexpress,35,0.2500,8
twexpress,36,0.1250,8
twexpress,37,0.1250,8
twexpress,38,0.3750,8
twexpress,39,0.2500,8
twexpress,40,0.2500,8
twexpress,41,0.1667,6
twexpress,42,0.1667,6
twexpress,43,0.1667,6
twexpress,44,0.1667,6
twexpress,45,0.5000,6
twexpress,46,0.5000,6
twexpress,47,1.0000,6
twexpress,48,0.8333,6
twexpress,49,0.5000,6
plancraft,0,0.4894,517
plancraft,1,0.4584,493
plancraft,2,0.4081,370
plancraft,3,0.3657,350
plancraft,4,0.3160,326
plancraft,5,0.2788,312
plancraft,6,0.2022,277
plancraft,7,0.2805,246
plancraft,8,0.2870,223
plancraft,9,0.3333,201
plancraft,10,0.2707,133
plancraft,11,0.3056,108
plancraft,12,0.2317,82
plancraft,13,0.2188,64
plancraft,14,0.1552,58
plancraft,15,0.1321,53
plancraft,16,0.1400,50
plancraft,17,0.1667,48
plancraft,18,0.2273,44
plancraft,19,0.2619,42
plancraft,20,0.2500,40
plancraft,21,0.2368,38
plancraft,22,0.1765,34
plancraft,23,0.0303,33
plancraft,24,0.1515,33
plancraft,25,0.0909,33
plancraft,26,0.0625,32
plancraft,27,0.1562,32
plancraft,28,0.3548,31
plancraft,29,0.3226,31
