method,environment,sr_pct,cost_xbase
base_only,HotpotQA,49.0,1.00
base_only,WebShop,7.2,1.00
base_only,FEVER,37.0,1.00
base_only,TWExpress,67.5,1.00
base_only,Plancraft,29.8,1.00
base_only,APPS,60.5,1.00
always_trigger,HotpotQA,97.0,10.63
always_trigger,WebShop,43.0,5.56
always_trigger,FEVER,99.8,7.87
always_trigger,TWExpress,99.3,2.15
always_trigger,Plancraft,22.8,6.13
always_trigger,APPS,79.5,3.65
CaTS,HotpotQA,93.2,10.54
CaTS,WebShop,30.5,3.45
CaTS,FEVER,48.2,25.48
CaTS,TWExpress,96.7,3.37
CaTS,Plancraft,20.3,4.14
CaTS,APPS,66.2,2.61
SEAG,HotpotQA,67.5,9.34
SEAG,WebShop,28.0,2.84
SEAG,FEVER,47.3,17.19
SEAG,TWExpress,97.3,2.60
SEAG,Plancraft,22.8,3.52
SEAG,APPS,66.0,2.75
CoRefine,HotpotQA,68.2,9.28
CoRefine,WebShop,27.5,2.78
CoRefine,FEVER,47.8,17.19
CoRefine,TWExpress,97.5,2.57
CoRefine,Plancraft,20.8,3.44
CoRefine,APPS,67.5,2.70
CATTS,HotpotQA,68.3,10.53
CATTS,WebShop,16.0,5.55
CATTS,FEVER,32.2,16.46
CATTS,TWExpress,97.5,2.83
CATTS,Plancraft,23.0,6.53
CATTS,APPS,60.8,6.00
AUQ,HotpotQA,95.0,10.29
AUQ,WebShop,35.7,5.83
AUQ,FEVER,38.7,18.04
AUQ,TWExpress,95.5,1.95
AUQ,Plancraft,22.2,6.64
AUQ,APPS,64.7,3.28
s1_budget,HotpotQA,94.0,8.27
s1_budget,WebShop,17.8,2.91
s1_budget,FEVER,44.2,19.21
s1_budget,TWExpress,95.0,2.02
s1_budget,Plancraft,16.3,3.02
s1_budget,APPS,69.0,2.65
EAAG,HotpotQA,95.2,8.02
EAAG,WebShop,43.8,2.50
EAAG,FEVER,49.8,16.51
EAAG,TWExpress,99.0,1.81
EAAG,Plancraft,23.3,3.63
EAAG,APPS,73.0,2.61
